"SWSN_ID","SWSN_Site","EASTING","NORTHING"
2046,"AZ V:5:11",521670.928156257,3707044.02654977
2047,"12-02-0577 (TNF)",540036.641621917,3751458.27849017
2048,"12-02-0578 (TNF)",519557.950087816,3690567.02190894
2049,"AZ U:12:77",478536.118094221,3682138.62032297
2050,"12-03-0028 (TNF)",492834.659267858,3720312.53018321
2051,"12-03-0139 (TNF)",470136.997629002,3715327.27846491
2052,"12-03-0329 (TNF)",486611.390920326,3716100.63964033
2053,"12-03-0341 (TNF)",484691.473142847,3709892.50646012
2054,"12-03-0347 (TNF)",474202.968310088,3715547.73347752
2055,"12-03-0375 (TNF)",492577.520844087,3708271.53687195
2056,"12-03-0376 (TNF)",493844.387974113,3712271.24763967
2057,"12-03-0379 (TNF)",474991.033250362,3713080.66215338
2058,"12-03-0419 (TNF)",487532.872856304,3701675.59410268
2059,"12-03-0425 (TNF)",489339.644948661,3712843.3557477
2060,"Sunflower Mesa",481621.258347303,3804627.81613605
2061,"Mayfield Canyon--north",474038.44536005,3804713.79428579
2062,"12-04-0092 (TNF)",461232.083466038,3778893.91514413
2063,"AZ O:15:13",474779.796466127,3784846.19653785
2064,"12-04-0144 (TNF)",480410.15494366,3793470.66602184
2065,"AZ O:11:44",470650.829387352,3781931.72625461
2066,"AZ O:15:2",483282.501965135,3791981.8279382
2067,"Cl Ranch",489721.785060063,3799652.18378186
2068,"Verde 15:16",471643.785866842,3780839.55767551
2069,"12-05-0518 (TNF)",507126.130528197,3739292.49670777
2070,"12-05-0832 (TNF)",497397.394260973,3759518.46975526
2071,"AZ V:1:227",507104.200603247,3745232.68330821
2072,"12-05-0875 (TNF)",518183.677626431,3728899.88558033
2073,"Roosevelt 9:3",482377.117143452,3734923.97568168
2074,"Roosevelt 9:4",497368.68251498,3719507.30147043
2075,"Roosevelt 9:12",500555.984272167,3722194.69934942
2076,"12-06-0073 (TNF)",482808.298520491,3711410.75384425
2077,"Roosevelt 9:13",500604.590499654,3716085.18709572
2078,"Aggregate Ruin",472103.712101012,3768218.59340452
2079,"Roosevelt 9:8",507037.591652155,3710923.22146387
2080,"12-06-1193 (TNF)",497044.587799504,3704045.09444253
2081,"12-06-1195 (TNF)",502780.661441281,3703422.79096419
2082,"12-06-1197 (TNF)",497953.228707135,3702430.57264635
2083,"12-06-1207 (TNF)",482035.618169352,3698670.32255569
2084,"12-06-1209 (TNF)",490210.942198008,3717358.4488436
2085,"12-06-1216 (TNF)",492449.368640229,3719289.44904292
2086,"12-06-1222 (TNF)",481043.480870843,3719082.62056322
2087,"12-06-1322 (TNF)",490841.262854382,3705590.93433233
2088,"12-06-1326 (TNF)",501057.346487388,3722511.72661231
2089,"12-06-2537 (TNF)",499290.43404831,3738479.6125899
2090,"12-06-2539 (TNF)",490237.59647733,3758492.4896909
2091,"12-06-2541 (TNF)",475667.365014747,3742710.77475131
2092,"Pueblo Canyon Group",516568.504893288,3748380.8976932
2093,"12-05-0056 (TNF)",519230.852128595,3748569.71229264
2094,"Devil's Chasm",516933.897550955,3741521.47795649
2095,"Ash Creek site",543376.091215566,3742996.46168174
2096,"AZ U:2:171",430023.443789005,3763350.42458424
2103,"Lower Barnhardt",467172.72849907,3771244.68886414
2105,"Pueblo Pointente",367765.588518873,3701783.91819182
2120,"Crescent Site",569486.266103208,3612726.91935648
2121,"Rattlesnake Mesa",558809.483450919,3625872.93800044
2130,"Stone Axe Ruin",622481.518944949,3860911.62498088
2132,"JR's Entremetido",695825.757484481,3833891.2045159
2133,"LA 59486",729728.859360784,3896497.96385802
2136,"Mats'a:kya Ruin",698442.995316431,3875745.11329509
2138,"AZ W:10:51",626035.793125182,3699731.64907141
2139,"AZ W:10:48",609330.970232174,3697478.28061864
2140,"Webb Ruin",583966.750458926,3601319.62351273
2141,"AZ V:14:3",519719.618033633,3656038.2115615
2142,"Carmen Community",495156.984664738,3482332.01282676
2143,"Spier 176",653744.293507248,3809786.51432188
2145,"AZ O:13:2(ASU)",398472.055570304,3775218.6844013
2147,"AZ O:14:3(ASU)",424528.23066701,3752761.86455856
2149,"SPEAR SITE",384623.609564349,3710437.97391707
2152,"AZ T:3:6(ASU)",382420.243703634,3747536.55937442
2153,"AZ T:7:15(ASU)",380449.148853183,3729733.85183732
2156,"Germann Site",444759.498092443,3682909.77640195
2157,"AZ U:1:15(ASU)",418827.614448115,3757479.36365187
2158,"AZ U:1:16(ASU)",424142.468674302,3760792.94606523
2160,"AZ U:1:8(ASU)",423554.41449593,3760682.72912703
2162,"AZ U:2:13(ASU)",445175.185572997,3750424.95968023
2166,"AZ U:2:4(ASU)",430686.854716316,3753918.52278599
2171,"AZ U:6:13(ASU)",453473.775360629,3706210.9217051
2174,"AZ U:6:8(ASU)",439063.247482598,3702095.56143391
2177,"AZ AA:2:110(ASM)",441678.499344468,3649907.79949273
2185,"AZ O:13:27(ASM)",400470.297011629,3790141.20471725
2186,"AZ O:13:40(ASM)",411819.022504151,3773730.79155834
2187,"AZ O:14:90(ASM)",442168.73002027,3776402.78675629
2189,"AZ U:10:33(ASM)",444336.807997793,3690640.80248091
2194,"Los Monticulos",457393.689878598,3677092.79380494
2195,"AZ U:11:4(ASM)",451207.827026814,3692326.46208833
